root_id,x_coord,score,y_level
720575940596125868,6.714803246213015e-05,-3.4927538362341832,3
720575940597856265,6.69638527478378e-05,4.325049744103976,2
720575940597944841,6.70280751799004e-05,-14.020670853700434,4
720575940598267657,6.710793753894715e-05,0.7218574076862683,2
720575940599333574,6.7167577651299e-05,-5.59250626503448,3
720575940599457990,6.715075834027575e-05,13.622794388542893,2
720575940599459782,6.71244976414825e-05,5.826542593121237,2
720575940599704006,6.712908118377073e-05,-1.5866098168046208,3
720575940599729862,6.711602128466076e-05,-0.1485624623972828,2
720575940599733446,6.712458369353004e-05,-9.338131601224656,3
720575940599736492,6.670793316560408e-05,20.603187341690564,2
720575940599755718,6.713888767012307e-05,-6.402982933563527,3
720575940599763910,6.719730995224493e-05,-3.6467698072187527,3
720575940599797164,6.426334134416924e-05,-5.889832886812656,3
720575940600010668,6.484615999726047e-05,65.56572369143606,1
720575940600071689,6.706411186893288e-05,-2.159470633832805,3
720575940600084489,6.721621504273073e-05,5.116171822494067,2
720575940600101641,6.709855123186584e-05,1.653889807881895,2
720575940600124169,6.7124995557081e-05,-6.320411492007169,3
720575940600143369,6.709217120869548e-05,-1.8356592026937055,3
720575940600150793,6.711232082399175e-05,-1.902665769600244,3
720575940600322965,-5.952324137054044e-15,-15.03719702588896,4
720575940600433181,6.643211126354021e-05,16.199632472478726,2
720575940600547529,6.719694984603022e-05,-12.197543794648793,3
720575940600588204,6.708102387871506e-05,3.400331309909427,2
720575940600623020,6.729753848403125e-05,-1.2231623989231322,2
720575940600646173,6.649639788684184e-05,0.0182783426796725,2
720575940600722348,6.7230404463149e-05,-2.7473721453187454,3
720575940600782252,6.711405452774057e-05,-0.6067718483665971,2
720575940600850441,6.709555242395942e-05,-0.3150985694222335,2
720575940600866569,6.71020941645301e-05,2.286709380578647,2
720575940600934665,6.7087265052441e-05,3.732519611280334,2
720575940601067436,6.713327574092817e-05,5.063941597352821,2
720575940601103625,6.716848135904121e-05,1.7827499547348502,2
720575940601206499,6.711556134724264e-05,-2.4455510514294123,3
720575940601263473,6.338836224918892e-05,-11.2105318465343,3
720575940601325484,6.720110043995141e-05,1.5450153238966746,2
720575940601412361,6.698231388959036e-05,-16.580063400508127,4
720575940601423625,6.695576410374094e-05,-12.527482215638546,3
720575940601598892,6.711829790909975e-05,-3.0544670648179806,3
720575940601603185,6.483730521292339e-05,6.792763226472212,2
720575940601653513,6.737843419032702e-05,-8.535642990478577,3
720575940601672201,6.708400905754597e-05,-3.694396983227535,3
720575940601712649,6.698126792912412e-05,-0.5287437989234745,2
720575940601736201,6.709757566921348e-05,6.844191741334273,2
720575940601867017,6.690289720630586e-05,0.3835290376984891,2
720575940602120928,6.613501591496687e-05,-31.490046587805175,5
720575940602132509,6.645579958820325e-05,-0.1424755612989836,2
720575940602140862,6.716806130926153e-05,-6.433063050111032,3
720575940602289198,-1.4227009327572038e-14,2.1091256284627993,2
720575940602309600,6.756046907179848e-05,19.814535778733788,2
720575940602313952,6.699961489612164e-05,-24.030287169857324,4
720575940602337504,6.645934135358065e-05,21.963421070539912,2
720575940602353632,6.684944703770547e-05,-0.5113889917390422,2
720575940602380768,6.634075025208866e-05,-21.25745434576649,4
720575940602382304,6.651998057259742e-05,-14.308309970232756,4
720575940602398473,6.712010456449535e-05,11.282565805198448,2
720575940602401214,6.706616345031184e-05,-2.997343611123051,3
720575940602415584,6.660794449375501e-05,27.609805692059943,2
720575940602430944,6.588841975497975e-05,78.46927452827748,1
720575940602444512,6.652532850505053e-05,-49.3906036793947,5
720575940602483424,6.556576465840231e-05,-2.743531834009507,3
720575940602497726,6.725512763608693e-05,-3.214812560367019,3
720575940602506208,6.647564384792916e-05,-4.056832922668495,3
720575940602534112,6.672808321770123e-05,-7.058144707190994,3
720575940602553568,6.725072754480167e-05,16.42570223234152,2
720575940602564320,6.725237746700097e-05,-4.602787421194756,3
720575940602572768,6.697845735012509e-05,7.644718450803005,2
720575940602577598,6.728657631657764e-05,1.3764235051971496,2
720575940602605536,6.72531595036209e-05,-0.9393039662026366,2
720575940602618848,6.656809158481702e-05,-4.757823940784465,3
720575940602619249,6.436869835647592e-05,-4.277089879130334,3
720575940602703072,6.654945099044253e-05,-18.334752374678793,4
720575940602718432,6.597204441863053e-05,-13.992417387523808,4
720575940602720940,6.679383791958788e-05,-17.19323742441836,4
720575940602737598,6.721228395336113e-05,3.931279920929863,2
720575940602747360,6.690283686939342e-05,-39.09427421643798,5
720575940602783968,6.683449496432104e-05,-64.37089396812692,5
720575940602790610,6.715824143640027e-05,-4.30733336928309,3
720575940602800608,6.696815927211659e-05,-34.854415044666055,5
720575940602815200,6.718553380300938e-05,-1.8256472633269536,3
720575940602829536,6.671957998147053e-05,-17.884129218785162,4
720575940602831328,6.693747513372749e-05,-40.72956099145678,5
720575940602849248,6.714025627280304e-05,-13.663097250647208,4
720575940602857440,6.691903306886289e-05,-7.144040581323536,3
720575940602857696,6.720317012881582e-05,90.9452042009356,1
720575940602858464,6.696441403913249e-05,6.263020399700697,2
720575940602864300,6.660220752622626e-05,-15.339098923889336,4
720575940602879404,6.644464076101969e-05,-33.073033268111494,5
720575940602880736,6.72030099561667e-05,9.434641087740136,2
720575940602885344,6.68070810211749e-05,17.896336066128363,2
720575940602891232,6.660302631660681e-05,-32.39757990536103,5
720575940602893228,6.648572715190545e-05,-10.021944925763927,3
720575940602914988,6.643963827516032e-05,-34.059609691471536,5
720575940602917088,6.678425263076772e-05,-22.295394475736053,4
720575940602920364,6.692298490315889e-05,-31.534785667797856,5
720575940602922976,6.700134564766849e-05,-7.261946906023605,3
720575940602928608,6.714522133126138e-05,-2.9391237679557576,3
720575940602943968,6.705063873535641e-05,12.63162912488738,2
720575940602964140,6.643181182121663e-05,-38.73017913093607,5
720575940602974688,6.624256877431757e-05,-11.643191393200716,3
720575940602977248,6.711754797304975e-05,-49.79503310405672,5
720575940603011808,6.612382821311491e-05,-25.366256518786667,4
720575940603012832,6.646360326670374e-05,4.017374301796466,2
720575940603022304,6.44195912176609e-05,11.587311536416152,2
720575940603029472,6.879852833834314e-05,-10.36202477911932,3
720575940603032748,6.666883304898643e-05,-1.2462154013093072,2
720575940603042272,6.706447814089497e-05,13.658756020854998,2
720575940603045804,6.704574958577708e-05,-21.875517685982903,4
720575940603048108,6.68315116936221e-05,-38.552593509847824,5
720575940603050668,6.725611872902045e-05,-3.761404768778214,3
720575940603067360,6.681030351028607e-05,-10.4753415934659,3
720575940603077600,6.513903388279032e-05,-4.578611102028861,3
720575940603082720,6.724307616781178e-05,-14.640167374186234,4
720575940603084972,6.727954496560699e-05,3.83613324357547,2
720575940603094700,6.687115530938387e-05,-42.66589878925442,5
720575940603111392,6.730801027693347e-05,2.009642992464198,2
720575940603114869,6.52542763108614e-05,72.04636359418753,1
720575940603117996,6.664200408207344e-05,-22.181666481642385,4
720575940603121888,6.698876534560365e-05,-15.413500505443697,4
720575940603123936,6.577046151639838e-05,-33.921773392410444,5
720575940603125216,6.641818392677252e-05,-19.747955424350856,4
720575940603152998,6.626757649557486e-05,-15.762527670631057,4
720575940603167916,6.660781012926824e-05,-14.337483351621126,4
720575940603174368,6.722231060189373e-05,10.828456892890346,2
720575940603174572,6.547830398530839e-05,-32.08058842484823,5
720575940603176049,6.516792923977528e-05,1.4717477665337,2
720575940603183840,6.907516578167423e-05,-61.84698671993598,5
720575940603186790,6.63147700340677e-05,-19.17947875371969,4
720575940603195494,6.646175421458074e-05,-21.24287450735626,4
720575940603197408,6.690140952061974e-05,-11.581031999494556,3
720575940603200428,6.705251363848868e-05,14.968596156532133,2
720575940603201452,6.641931325601625e-05,-18.663229524473604,4
